frequency,raw
4750.0,102.65
4820.0,102.621
4870.0,102.586
4940.0,102.515
5000.0,102.441
5080.0,102.325
5150.0,102.214
5220.0,102.097
5300.0,101.965
5380.0,101.839
5450.0,101.736
5520.0,101.643
5600.0,101.554
5700.0,101.466
5800.0,101.423
5900.0,101.421
6000.0,101.467
6080.0,101.535
6150.0,101.617
6220.0,101.719
6300.0,101.855
6400.0,102.046
6500.0,102.259
6600.0,102.48
6700.0,102.693
6800.0,102.887
6900.0,103.049
7000.0,103.162
7100.0,103.225
7200.0,103.243
7300.0,103.221
7400.0,103.154
7500.0,103.05
7620.0,102.898
7750.0,102.731
7880.0,102.577
8000.0,102.448
8120.0,102.321
8250.0,102.175
8380.0,102.001
8500.0,101.798
8620.0,101.513
8750.0,101.078
8850.0,100.657
9000.0,99.915
9120.0,99.284
9250.0,98.608
9380.0,97.988
9500.0,97.471
9620.0,97.029
9750.0,96.653
9880.0,96.362
10000.0,96.172
10150.0,96.035
10300.0,95.972
10440.0,95.958
10600.0,95.966
10750.0,95.965
10900.0,95.961
11060.0,95.954
11200.0,95.996
11380.0,96.101
11500.0,96.18
11720.0,96.19
11800.0,96.13
12060.0,95.762
12200.0,95.449
12410.0,94.994
12500.0,94.803
12650.0,94.477
12800.0,94.343
13150.0,94.813
13200.0,94.944
13400.0,95.558
13600.0,96.329
13800.0,97.147
14000.0,97.887
14300.0,98.617
14500.0,98.861
14750.0,98.991
15000.0,99.016
15250.0,98.874
15500.0,98.436
15750.0,97.613
16000.0,96.603
16250.0,95.707
16500.0,95.181
16750.0,95.166
17000.0,95.666
17250.0,96.363
17500.0,96.496
17750.0,95.674
18000.0,94.224
18250.0,93.184
18500.0,93.997
18750.0,91.144
19000.0,88.736
19250.0,85.615
19500.0,82.22
19750.0,78.003
